number,name,status
PEP Purpose and Guidelines,PEP 1,Active
2023 Term Steering Council election,PEP 8104,Active
2021 Term Steering Council election,PEP 8102,Final
January 2019 Steering Council election,PEP 8100,Final
The Steering Council Model,PEP 8016,Accepted
2020 Term Steering Council election,PEP 8101,Final
2022 Term Steering Council election,PEP 8103,Final
Extending the Repository API to Mitigate Dependency Confusion Attacks,PEP 708,Provisional
Open Source Governance Survey,PEP 8002,Final
Reserved,PEP 801,Active
Python 3.13 Release Schedule,PEP 719,Active
Python Web Server Gateway Interface v1.0.1,PEP 3333,Final
Python Language Governance Proposal Overview,PEP 8000,Final
Python 3.12 Release Schedule,PEP 693,Active
Unicode-related Security Considerations for Python,PEP 672,Active
Python 3.11 Release Schedule,PEP 664,Active
Organization of the Python community,PEP 8015,Rejected
The Commons Governance Model,PEP 8014,Rejected
The External Council Governance Model,PEP 8013,Rejected
The Community Governance Model,PEP 8012,Rejected
Python Governance Model Lead by Trio of Pythonistas,PEP 8011,Rejected
The Technical Leader Governance Model,PEP 8010,Rejected
Asynchronous IO support,PEP 3153,Superseded
Cofunctions,PEP 3152,Rejected
Merging Unladen Swallow into CPython,PEP 3146,Withdrawn
Add a “while” clause to generator expressions,PEP 3142,Rejected
"str(container) should call str(item), not repr(item)",PEP 3140,Rejected
Asynchronous I/O For subprocess.Popen,PEP 3145,Withdrawn
Cleaning out sys and the “interpreter” module,PEP 3139,Rejected
Labeled break and continue,PEP 3136,Rejected
Introducing Roles,PEP 3133,Rejected
BList: A Faster List-like Type,PEP 3128,Rejected
Access to Current Module/Class/Function,PEP 3130,Rejected
Remove Implicit String Concatenation,PEP 3126,Rejected
A Switch/Case Statement,PEP 3103,Rejected
Postfix type declarations,PEP 3117,Rejected
IEEE 754 Floating Point Special Values,PEP 754,Rejected
Delineation of the main module,PEP 3122,Rejected
Remove Backslash Continuation,PEP 3125,Rejected
Procedure for reviewing and improving standard library modules,PEP 3001,Withdrawn
A simplified signature for __exit__ and __aexit__,PEP 707,Rejected
Require virtual environments by default for package installers,PEP 704,Withdrawn
A file format to list Python dependencies for reproducibility of an application,PEP 665,Rejected
Lazy Imports,PEP 690,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",PEP 663,Rejected
Callable Type Syntax,PEP 677,Rejected
Editable installs via virtual wheels,PEP 662,Rejected
Reject Foolish Indentation,PEP 666,Rejected
Robust Stack Overflow Handling,PEP 651,Rejected
Unused variable syntax,PEP 640,Rejected
Allow writing optional types as ,PEP 645,Withdrawn
Using an underscore in the version portion of Python 3.10 compatibility tags,PEP 641,Rejected
Extensible customizations of the interpreter at startup,PEP 648,Rejected
Support for indexing with keyword arguments,PEP 637,Rejected
Specifying Installer Requirements for Python Projects,PEP 650,Withdrawn
Dependency specification in pyproject.toml using an exploded TOML table,PEP 633,Rejected
Explicit Pattern Syntax for Structural Pattern Matching,PEP 642,Rejected
Hide implementation details from the C API,PEP 620,Withdrawn
The one million limit,PEP 611,Withdrawn
Dependency specification in pyproject.toml based on PEP 508,PEP 631,Superseded
Coordinated Python release,PEP 608,Rejected
Structural Pattern Matching,PEP 622,Superseded
Forbid return/break/continue breaking out of finally,PEP 601,Rejected
Python Compatibility Version,PEP 606,Rejected
A rolling feature release stream for CPython,PEP 605,Rejected
The manylinux2014 Platform Tag,PEP 599,Superseded
Introducing incremental feature releases,PEP 598,Withdrawn
Improving bugs.python.org,PEP 595,Withdrawn
The C call protocol,PEP 580,Rejected
A Concurrency Memory Model for Python,PEP 583,Withdrawn
Augmented Assignment Expressions,PEP 577,Withdrawn
Python local packages directory,PEP 582,Rejected
Rationalize Built-in function classes,PEP 576,Withdrawn
The manylinux2010 Platform Tag,PEP 571,Superseded
Unifying function/method classes,PEP 575,Withdrawn
Context-local variables (contextvars),PEP 555,Withdrawn
Built-in noop(),PEP 559,Rejected
Security transparency in the Python runtime,PEP 551,Withdrawn
Instance Descriptors,PEP 549,Rejected
More Flexible Loop Control,PEP 548,Rejected
Execution Context,PEP 550,Withdrawn
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,PEP 546,Rejected
Dot Notation Assignment In Function Header,PEP 542,Rejected
A Unified TLS API for Python,PEP 543,Withdrawn
Managing global context via ‘with’ blocks in generators and coroutines,PEP 521,Withdrawn
Existence checking operators,PEP 531,Withdrawn
Allow BlockingIOError in security sensitive APIs,PEP 522,Rejected
Build system abstraction for pip/conda etc,PEP 516,Rejected
A Platform Tag for Portable Linux Built Distributions,PEP 513,Superseded
API for code transformers,PEP 511,Rejected
Specialize functions with guards,PEP 510,Rejected
Add a private version to dict,PEP 509,Superseded
Migrate CPython to Git and GitLab,PEP 507,Rejected
Using the System RNG by default,PEP 504,Withdrawn
A standard mechanism for backward compatibility,PEP 497,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,PEP 500,Rejected
